date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:37	12/12	---M--	200	added ('OK')	text/plain	etag:%22599a9a70-c%22	https://esp32.vn/_sources/hardware/board.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/hardware/board.rst.txt	(from https://esp32.vn/hardware/board.html)
13:15:38	1374/1374	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-55e%22	https://esp32.vn/_sources/hardware/connection.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/hardware/connection.rst.txt	(from https://esp32.vn/hardware/connection.html)
13:15:41	157292/157292	---M--	200	added ('OK')	image/jpeg	etag:%22599a9a70-2666c%22	https://esp32.vn/_static/connection-board.jpg	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/connection-board.jpg	(from https://esp32.vn/hardware/connection.html)
13:15:44	157292/157292	---M--	200	added ('OK')	image/jpeg	etag:%22599a9a70-2666c%22	https://esp32.vn/_images/connection-board.jpg	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/connection-board.jpg	(from https://esp32.vn/hardware/connection.html)
13:15:44	340783/340783	---M--	200	added ('OK')	image/png	etag:%22599a9a70-5332f%22	https://esp32.vn/_static/setup-board.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/setup-board.png	(from https://esp32.vn/hardware/connection.html)
13:15:46	164/164	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-a4%22	https://esp32.vn/_sources/arduino/index.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/arduino/index.rst.txt	(from https://esp32.vn/arduino/index.html)
13:15:47	2932/2932	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-b74%22	https://esp32.vn/_sources/arduino/install.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/arduino/install.rst.txt	(from https://esp32.vn/arduino/install.html)
13:15:47	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Feb%202020%2006:15:47%20GMT	https://esp32.vn/arduino/_static/win-gui-get-exe.png	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/_static/win-gui-get-exe.png	(from https://esp32.vn/arduino/install.html)
13:15:48	36478/36478	---M--	200	added ('OK')	image/png	etag:%22599a9a70-8e7e%22	https://esp32.vn/_images/win-gui-get-exe.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/win-gui-get-exe.png	(from https://esp32.vn/arduino/install.html)
13:15:49	340783/340783	---M--	200	added ('OK')	image/png	etag:%22599a9a70-5332f%22	https://esp32.vn/_images/setup-board.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/setup-board.png	(from https://esp32.vn/hardware/connection.html)
13:15:50	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Feb%202020%2006:15:48%20GMT	https://esp32.vn/arduino/_static/win-gui-get-exe2.png	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/_static/win-gui-get-exe2.png	(from https://esp32.vn/arduino/install.html)
13:15:52	86160/86160	---M--	200	added ('OK')	image/png	etag:%22599a9a70-15090%22	https://esp32.vn/_images/win-gui-get-exe2.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/win-gui-get-exe2.png	(from https://esp32.vn/arduino/install.html)
13:15:52	21/21	---M--	200	added ('OK')	text/plain	etag:%22599a9a70-15%22	https://esp32.vn/_sources/arduino/library.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/arduino/library.rst.txt	(from https://esp32.vn/arduino/library.html)
13:15:53	2748/2748	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-abc%22	https://esp32.vn/_sources/arduino/blink.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/arduino/blink.rst.txt	(from https://esp32.vn/arduino/blink.html)
13:15:54	13812/13812	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-35f4%22	https://esp32.vn/_sources/arduino/i2c_oled.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/arduino/i2c_oled.rst.txt	(from https://esp32.vn/arduino/i2c_oled.html)
13:15:56	43198/43198	---M--	200	added ('OK')	image/jpeg	etag:%22599a9a70-a8be%22	https://esp32.vn/_images/oled-technology-seminar-ppt-8-638.jpg	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/oled-technology-seminar-ppt-8-638.jpg	(from https://esp32.vn/arduino/i2c_oled.html)
13:15:57	359/359	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-167%22	https://esp32.vn/_sources/idf/index.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/index.rst.txt	(from https://esp32.vn/idf/index.html)
13:15:59	8054/8054	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-1f76%22	https://esp32.vn/_sources/idf/install.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/install.rst.txt	(from https://esp32.vn/idf/install.html)
13:16:00	8783/8783	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-224f%22	https://esp32.vn/_sources/idf/hello-world.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/hello-world.rst.txt	(from https://esp32.vn/idf/hello-world.html)
13:16:00	521133/521133	---M--	200	added ('OK')	image/png	etag:%22599a9a70-7f3ad%22	https://esp32.vn/_images/oled-096-iotmakervn.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/oled-096-iotmakervn.png	(from https://esp32.vn/arduino/i2c_oled.html)
13:16:01	4981/4981	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-1375%22	https://esp32.vn/_sources/idf/blink-idf.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/blink-idf.rst.txt	(from https://esp32.vn/idf/blink-idf.html)
13:16:03	5997/5997	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-176d%22	https://esp32.vn/_sources/idf/button.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/button.rst.txt	(from https://esp32.vn/idf/button.html)
13:16:04	8457/8457	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-2109%22	https://esp32.vn/_sources/idf/adc.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/adc.rst.txt	(from https://esp32.vn/idf/adc.html)
13:16:07	4744/4744	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-1288%22	https://esp32.vn/_sources/idf/dac.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/dac.rst.txt	(from https://esp32.vn/idf/dac.html)
13:16:08	28418/28418	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-6f02%22	https://esp32.vn/_sources/idf/spi_master.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/spi_master.rst.txt	(from https://esp32.vn/idf/spi_master.html)
13:16:11	12777/12777	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-31e9%22	https://esp32.vn/_sources/idf/spi_slave.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/spi_slave.rst.txt	(from https://esp32.vn/idf/spi_slave.html)
13:16:14	20147/20147	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-4eb3%22	https://esp32.vn/_sources/idf/i2s.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/i2s.rst.txt	(from https://esp32.vn/idf/i2s.html)
13:16:15	33563/33563	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-831b%22	https://esp32.vn/_sources/idf/i2c.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/i2c.rst.txt	(from https://esp32.vn/idf/i2c.html)
13:16:16	23925/23925	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-5d75%22	https://esp32.vn/_sources/idf/gpio.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/gpio.rst.txt	(from https://esp32.vn/idf/gpio.html)
13:16:16	45396/45396	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-b154%22	https://esp32.vn/_sources/idf/RMT.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/RMT.rst.txt	(from https://esp32.vn/idf/RMT.html)
13:16:17	5064/5064	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-13c8%22	https://esp32.vn/_sources/idf/touch_pad.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/touch_pad.rst.txt	(from https://esp32.vn/idf/touch_pad.html)
13:16:18	27357/27357	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-6add%22	https://esp32.vn/_sources/idf/wifi.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/wifi.rst.txt	(from https://esp32.vn/idf/wifi.html)
13:16:20	161309/161309	---M--	200	added ('OK')	image/png	etag:%22599a9a70-2761d%22	https://esp32.vn/_static/Wifi_connected.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/Wifi_connected.png	(from https://esp32.vn/idf/wifi.html)
13:16:21	4621/4621	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-120d%22	https://esp32.vn/_sources/idf/sdcard.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/idf/sdcard.rst.txt	(from https://esp32.vn/idf/sdcard.html)
13:16:21	161309/161309	---M--	200	added ('OK')	image/png	etag:%22599a9a70-2761d%22	https://esp32.vn/_images/Wifi_connected.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/Wifi_connected.png	(from https://esp32.vn/idf/wifi.html)
13:16:26	490865/490865	---M--	200	added ('OK')	image/jpeg	etag:%22599a9a70-77d71%22	https://esp32.vn/_static/sdcard.jpg	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/sdcard.jpg	(from https://esp32.vn/idf/sdcard.html)
13:16:26	1256/1256	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-4e8%22	https://esp32.vn/_sources/contributing.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/contributing.rst.txt	(from https://esp32.vn/contributing.html)
13:16:29	490865/490865	---M--	200	added ('OK')	image/jpeg	etag:%22599a9a70-77d71%22	https://esp32.vn/_images/sdcard.jpg	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/sdcard.jpg	(from https://esp32.vn/idf/sdcard.html)
